"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"232",32,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.91808121962363
"233",33,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.63960342071466
"234",34,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.72844796054533
"235",35,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0551548500661
"236",36,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0853903248408
"237",37,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.54870716441205
"238",38,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.84270608800789
"239",39,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.6586956222177
"240",40,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.81189794708166
"241",41,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.32831575297642
"242",42,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0591727427699
"243",43,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.62478071325503
"244",44,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.83544674393611
"245",45,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.716784465079
"246",46,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.85669244909124
"247",47,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.95106608892399
"248",48,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.41455597889686
"249",49,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2595876304475
"250",50,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.80437527277535
"251",51,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0474979794874
"252",52,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.3034503994486
"253",53,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.64171421115699
"254",54,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.58967013668276
"255",55,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0084242987556
"256",56,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.9016423708251
"257",57,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.36974927361825
"258",58,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.4738900137879
"259",59,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.78432572495774
"260",60,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.88806164923394
"261",61,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.75021495263108
"262",62,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2089062175081
"263",63,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.75047142962803
"264",64,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.83133495344068
"265",65,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.53668651943214
"266",66,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.88416590607338
"267",67,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.6754435218614
"268",68,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.6986491292345
"269",69,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.85908885788325
"270",70,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2975721907019
"271",71,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.41447166285468
"272",72,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.91194974197006
"273",73,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.35931924944113
"274",74,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.6394262658742
"275",75,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.58246156725926
"276",76,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.0269845855621
"277",77,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.98022960891285
"278",78,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.93347896851469
"279",79,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.1401883989491
"280",80,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.85924704478229
"281",81,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.93109712721437
"282",82,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2592807317214
"283",83,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.78088945539895
"284",84,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.76514537114279
"285",85,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.93173585373936
"286",86,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.95828978464966
"287",87,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.89556611622934
"288",88,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",10.2865932383719
"289",89,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.81856678287034
"290",90,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.86169193017241
