"","SimNumber","beta","betap","gamma","gammap","vaxrate","ini_recovered","ini_infected","nu","mu","tdom"
"247",47,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.82080872001665
"248",48,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.90347092711342
"249",49,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.19709741601462
"250",50,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.84385514269666
"251",51,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.1606082163842
"252",52,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.15176367128824
"253",53,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.73363132395282
"254",54,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.18695982189045
"255",55,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.83624581305786
"256",56,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.74926514436477
"257",57,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.15210128199329
"258",58,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.78783928503246
"259",59,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.90312988745118
"260",60,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.69109899650908
"261",61,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.75105200144975
"262",62,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.25502374063541
"263",63,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.15281732785431
"264",64,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.44699692094256
"265",65,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.37419606241489
"266",66,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.81940497723737
"267",67,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.95428200718283
"268",68,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.66678411792343
"269",69,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.84290632469718
"270",70,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.94727317701775
"271",71,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.67514600010713
"272",72,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.10874087793417
"273",73,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.68254377687751
"274",74,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.06913620680645
"275",75,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.61298743392846
"276",76,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.92210281749566
"277",77,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.9267666831834
"278",78,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.23332006526508
"279",79,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.87603769770813
"280",80,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.97332348825364
"281",81,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.03714305876323
"282",82,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.91173640965493
"283",83,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.83601916120326
"284",84,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.86834801316185
"285",85,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",8.68543087970078
"286",86,"2.1","1.25","0.7","0.7","0","0.01","0.01","0","0",9.40531925596433
