"","contrast","nu","vaxrate","beta","estimate","SE","df","lower.CL","upper.CL"
"193","betap1.25 - betap1.5","0.5","0.5","2.1",0.234722512658062,0.121926913502492,1296,-0.0874467201369844,0.556891745453109
"194","betap1.25 - betap1.75","0.5","0.5","2.1",0.389429328490214,0.121926913502492,1296,0.0672600956951659,0.711598561285262
"195","betap1.25 - betap2","0.5","0.5","2.1",0.450027401486238,0.121926913502492,1296,0.12785816869119,0.772196634281287
"196","betap1.5 - betap1.75","0.5","0.5","2.1",0.154706815832151,0.121926913502492,1296,-0.167462416962895,0.476876048627198
"197","betap1.5 - betap2","0.5","0.5","2.1",0.215304888828176,0.12192691350249,1296,-0.106864343966868,0.53747412162322
"198","betap1.75 - betap2","0.5","0.5","2.1",0.0605980729960245,0.121926913502492,1296,-0.261571159799023,0.382767305791072
"199","betap1.25 - betap1.5","0","0.75","2.1",0.242234592659058,0.121926913502492,1296,-0.0799346401359895,0.564403825454106
"200","betap1.25 - betap1.75","0","0.75","2.1",0.396687022240196,0.121926913502492,1296,0.0745177894451484,0.718856255035243
"201","betap1.25 - betap2","0","0.75","2.1",0.544400400913771,0.121926913502491,1296,0.222231168118726,0.866569633708816
"202","betap1.5 - betap1.75","0","0.75","2.1",0.154452429581138,0.121926913502492,1296,-0.16771680321391,0.476621662376185
"203","betap1.5 - betap2","0","0.75","2.1",0.302165808254713,0.121926913502491,1296,-0.0200034245403333,0.624335041049759
"204","betap1.75 - betap2","0","0.75","2.1",0.147713378673575,0.12192691350249,1296,-0.174455854121468,0.469882611468618
"205","betap1.25 - betap1.5","0.25","0.75","2.1",0.145479979313826,0.121926913502492,1296,-0.176689253481222,0.467649212108874
"206","betap1.25 - betap1.75","0.25","0.75","2.1",0.287450907319778,0.121926913502492,1296,-0.0347183254752711,0.609620140114827
"207","betap1.25 - betap2","0.25","0.75","2.1",0.0460639606724896,0.121926913502493,1296,-0.276105272122561,0.36823319346754
"208","betap1.5 - betap1.75","0.25","0.75","2.1",0.141970928005952,0.121926913502492,1296,-0.180198304789095,0.464140160800999
"209","betap1.5 - betap2","0.25","0.75","2.1",-0.0994160186413362,0.121926913502492,1296,-0.421585251436383,0.222753214153711
"210","betap1.75 - betap2","0.25","0.75","2.1",-0.241386946647288,0.121926913502492,1296,-0.563556179442337,0.08078228614776
"211","betap1.25 - betap1.5","0.5","0.75","2.1",0.188901199090469,0.12192691350249,1296,-0.133268033704574,0.511070431885511
"212","betap1.25 - betap1.75","0.5","0.75","2.1",0.250802962954649,0.121926913502489,1296,-0.0713662698403912,0.57297219574969
"213","betap1.25 - betap2","0.5","0.75","2.1",0.380460526415117,0.121926913502488,1296,0.0582912936200785,0.702629759210156
"214","betap1.5 - betap1.75","0.5","0.75","2.1",0.0619017638641809,0.12192691350249,1296,-0.260267468930861,0.384070996659223
"215","betap1.5 - betap2","0.5","0.75","2.1",0.191559327324649,0.121926913502491,1296,-0.130609905470397,0.513728560119694
"216","betap1.75 - betap2","0.5","0.75","2.1",0.129657563460468,0.12192691350249,1296,-0.192511669334574,0.45182679625551
