"","contrast","nu","betap","beta","estimate","SE","df","lower.CL","upper.CL"
"153","vaxrate0 - vaxrate0.75","0.25","1.25","2.1",3.00869559015186,0.121926913502492,1296,2.68652635735681,3.33086482294691
"154","vaxrate0.25 - vaxrate0.5","0.25","1.25","2.1",0.96905447256725,0.121926913502492,1296,0.646885239772202,1.2912237053623
"155","vaxrate0.25 - vaxrate0.75","0.25","1.25","2.1",2.06852358108293,0.121926913502492,1296,1.74635434828788,2.39069281387797
"156","vaxrate0.5 - vaxrate0.75","0.25","1.25","2.1",1.09946910851568,0.121926913502492,1296,0.777299875720628,1.42163834131072
"157","vaxrate0 - vaxrate0.25","0.5","1.25","2.1",0.549637340616252,0.121926913502493,1296,0.227468107821202,0.871806573411301
"158","vaxrate0 - vaxrate0.5","0.5","1.25","2.1",1.23095571456781,0.121926913502492,1296,0.908786481772765,1.55312494736286
"159","vaxrate0 - vaxrate0.75","0.5","1.25","2.1",1.93090993507389,0.121926913502493,1296,1.60874070227884,2.25307916786894
"160","vaxrate0.25 - vaxrate0.5","0.5","1.25","2.1",0.681318373951561,0.121926913502492,1296,0.359149141156513,1.00348760674661
"161","vaxrate0.25 - vaxrate0.75","0.5","1.25","2.1",1.38127259445764,0.121926913502493,1296,1.05910336166258,1.70344182725269
"162","vaxrate0.5 - vaxrate0.75","0.5","1.25","2.1",0.699954220506075,0.121926913502492,1296,0.377784987711028,1.02212345330112
"163","vaxrate0 - vaxrate0.25","0","1.5","2.1",1.67760097609975,0.121926913502492,1296,1.3554317433047,1.99977020889479
"164","vaxrate0 - vaxrate0.5","0","1.5","2.1",3.58710385032614,0.121926913502492,1296,3.26493461753109,3.90927308312119
"165","vaxrate0 - vaxrate0.75","0","1.5","2.1",5.15426006654755,0.121926913502492,1296,4.8320908337525,5.4764292993426
"166","vaxrate0.25 - vaxrate0.5","0","1.5","2.1",1.90950287422639,0.121926913502492,1296,1.58733364143135,2.23167210702144
"167","vaxrate0.25 - vaxrate0.75","0","1.5","2.1",3.4766590904478,0.121926913502491,1296,3.15448985765276,3.79882832324285
"168","vaxrate0.5 - vaxrate0.75","0","1.5","2.1",1.56715621622141,0.121926913502491,1296,1.24498698342637,1.88932544901646
"169","vaxrate0 - vaxrate0.25","0.25","1.5","2.1",0.809627864660931,0.121926913502492,1296,0.487458631865883,1.13179709745598
"170","vaxrate0 - vaxrate0.5","0.25","1.5","2.1",1.70761556882314,0.121926913502492,1296,1.3854463360281,2.02978480161819
"171","vaxrate0 - vaxrate0.75","0.25","1.5","2.1",2.57454215583558,0.121926913502492,1296,2.25237292304053,2.89671138863062
"172","vaxrate0.25 - vaxrate0.5","0.25","1.5","2.1",0.897987704162214,0.121926913502492,1296,0.575818471367166,1.22015693695726
"173","vaxrate0.25 - vaxrate0.75","0.25","1.5","2.1",1.76491429117465,0.121926913502492,1296,1.4427450583796,2.08708352396969
