"","areaType","areaName","areaCode","date","variant","cumWeeklySequenced","newWeeklyPercentage"
"245","nation","England","E92000001","2021-07-04","V-22DEC-01 (Omicron CH.1.1)",0,0
"246","nation","England","E92000001","2021-07-04","V-22JUL-01 (Omicron BA.2.75)",0,0
"247","nation","England","E92000001","2021-07-04","V-22OCT-01 (Omicron BQ.1)",0,0
"248","nation","England","E92000001","2021-07-04","VOC-21NOV-01 (Omicron BA.1)",0,0
"249","nation","England","E92000001","2021-07-04","VOC-22APR-03 (Omicron BA.4)",0,0
"250","nation","England","E92000001","2021-07-04","VOC-22APR-04 (Omicron BA.5)",0,0
"251","nation","England","E92000001","2021-07-04","VOC-22JAN-01 (Omicron BA.2)",0,0
"252","nation","England","E92000001","2021-07-04","unclassified_variant",0,0
"253","nation","England","E92000001","2021-07-11","Other",504508,0.22
"254","nation","England","E92000001","2021-07-11","V-20DEC-01 (Alpha)",504508,0.08
"255","nation","England","E92000001","2021-07-11","V-21APR-02 (Delta B.1.617.2)",504508,98.8
"256","nation","England","E92000001","2021-07-11","V-21OCT-01 (Delta AY 4.2)",504508,0.9
"257","nation","England","E92000001","2021-07-11","V-22DEC-01 (Omicron CH.1.1)",0,0
"258","nation","England","E92000001","2021-07-11","V-22JUL-01 (Omicron BA.2.75)",0,0
"259","nation","England","E92000001","2021-07-11","V-22OCT-01 (Omicron BQ.1)",0,0
"260","nation","England","E92000001","2021-07-11","VOC-21NOV-01 (Omicron BA.1)",0,0
"261","nation","England","E92000001","2021-07-11","VOC-22APR-03 (Omicron BA.4)",0,0
"262","nation","England","E92000001","2021-07-11","VOC-22APR-04 (Omicron BA.5)",0,0
"263","nation","England","E92000001","2021-07-11","VOC-22JAN-01 (Omicron BA.2)",0,0
"264","nation","England","E92000001","2021-07-11","unclassified_variant",0,0
"265","nation","England","E92000001","2021-07-18","Other",532682,0.23
"266","nation","England","E92000001","2021-07-18","V-20DEC-01 (Alpha)",532682,0.08
"267","nation","England","E92000001","2021-07-18","V-21APR-02 (Delta B.1.617.2)",532682,98.72
"268","nation","England","E92000001","2021-07-18","V-21OCT-01 (Delta AY 4.2)",532682,0.97
"269","nation","England","E92000001","2021-07-18","V-22DEC-01 (Omicron CH.1.1)",0,0
"270","nation","England","E92000001","2021-07-18","V-22JUL-01 (Omicron BA.2.75)",0,0
"271","nation","England","E92000001","2021-07-18","V-22OCT-01 (Omicron BQ.1)",0,0
"272","nation","England","E92000001","2021-07-18","VOC-21NOV-01 (Omicron BA.1)",0,0
"273","nation","England","E92000001","2021-07-18","VOC-22APR-03 (Omicron BA.4)",0,0
"274","nation","England","E92000001","2021-07-18","VOC-22APR-04 (Omicron BA.5)",0,0
"275","nation","England","E92000001","2021-07-18","VOC-22JAN-01 (Omicron BA.2)",0,0
"276","nation","England","E92000001","2021-07-18","unclassified_variant",0,0
"277","nation","England","E92000001","2021-07-25","Other",561834,0.17
"278","nation","England","E92000001","2021-07-25","V-20DEC-01 (Alpha)",561834,0.04
"279","nation","England","E92000001","2021-07-25","V-21APR-02 (Delta B.1.617.2)",561834,98.58
"280","nation","England","E92000001","2021-07-25","V-21OCT-01 (Delta AY 4.2)",561834,1.21
"281","nation","England","E92000001","2021-07-25","V-22DEC-01 (Omicron CH.1.1)",0,0
"282","nation","England","E92000001","2021-07-25","V-22JUL-01 (Omicron BA.2.75)",0,0
"283","nation","England","E92000001","2021-07-25","V-22OCT-01 (Omicron BQ.1)",0,0
"284","nation","England","E92000001","2021-07-25","VOC-21NOV-01 (Omicron BA.1)",0,0
"285","nation","England","E92000001","2021-07-25","VOC-22APR-03 (Omicron BA.4)",0,0
"286","nation","England","E92000001","2021-07-25","VOC-22APR-04 (Omicron BA.5)",0,0
"287","nation","England","E92000001","2021-07-25","VOC-22JAN-01 (Omicron BA.2)",0,0
"288","nation","England","E92000001","2021-07-25","unclassified_variant",0,0
"289","nation","England","E92000001","2021-08-01","Other",591206,0.3
"290","nation","England","E92000001","2021-08-01","V-20DEC-01 (Alpha)",591206,0.03
"291","nation","England","E92000001","2021-08-01","V-21APR-02 (Delta B.1.617.2)",591206,98.4
"292","nation","England","E92000001","2021-08-01","V-21OCT-01 (Delta AY 4.2)",591206,1.27
"293","nation","England","E92000001","2021-08-01","V-22DEC-01 (Omicron CH.1.1)",0,0
"294","nation","England","E92000001","2021-08-01","V-22JUL-01 (Omicron BA.2.75)",0,0
"295","nation","England","E92000001","2021-08-01","V-22OCT-01 (Omicron BQ.1)",0,0
"296","nation","England","E92000001","2021-08-01","VOC-21NOV-01 (Omicron BA.1)",0,0
"297","nation","England","E92000001","2021-08-01","VOC-22APR-03 (Omicron BA.4)",0,0
"298","nation","England","E92000001","2021-08-01","VOC-22APR-04 (Omicron BA.5)",0,0
"299","nation","England","E92000001","2021-08-01","VOC-22JAN-01 (Omicron BA.2)",0,0
"300","nation","England","E92000001","2021-08-01","unclassified_variant",0,0
"301","nation","England","E92000001","2021-08-08","Other",618552,1.76
"302","nation","England","E92000001","2021-08-08","V-20DEC-01 (Alpha)",618552,0.02
